lon,lat
-118.248878,34.079231
-118.453912,34.073772
-118.34938,34.105583
-118.284471,34.145059
-118.473729,34.18016
-118.282413,34.131442
-118.441313,34.066703
-118.57138,34.084758
-118.513174,34.308588
-118.609919,34.277236
-118.292246,34.245015
-118.311142,34.232567
-118.482074,34.085677
-118.250078,34.081253
-118.302872,34.149006
-118.558199,34.044857
-118.300775,34.11887
-118.261178,34.099408
-118.474092,34.178193
-118.406999,34.120761
-118.405731,34.143883
-118.474394,34.179361
-118.366667,34.124534
-118.412767,34.119682
-118.289587,34.14141
-118.475402,34.179848
-118.407395,34.144828
-118.291309,34.154196
-118.285158,34.132224
-118.285682,34.133067
-118.262782,34.266283
-118.408159,34.119489
-118.286849,34.133344
-118.473611,34.17658
-118.294077,34.156932
-118.408506,34.122668
-118.325042,34.130906
-118.170033,34.119918
-118.307822,34.108345
-118.52803,34.055024
-118.194136,34.14382
-118.234337,34.0827
-118.288418,34.135182
-118.287515,34.134555
-118.296086,34.118641
-118.37548,34.105472
-118.402297,34.129611
-118.475312,34.077145
-118.4114,34.119533
-118.194039,34.113446
-118.288547,34.136551
-118.39907,34.128892
-118.246558,34.084725
-118.279388,34.132828
-118.288433,34.139784
-118.301637,34.148803
-118.283767,34.1482
-118.195633,34.041774
-118.305237,34.114838
-118.280533,34.1329
-118.211173,34.129025
-118.44737,34.111546
-118.284242,34.147186
-118.29012,34.135077
-118.29728,34.158368
-118.288544,34.140873
-118.307092,34.117608
-118.287062,34.135727
-118.301145,34.151078
-118.302834,34.143985
-118.283255,34.132386
-118.503097,34.081314
-118.35913,34.237947
-118.30095,34.149511
-118.392536,34.133467
-118.202033,34.098461
-118.260413,34.086178
-118.296937,34.126811
-118.510987,34.30775
-118.301038,34.123211
-118.296937,34.124645
-118.287842,34.132728
-118.455173,34.074039
-118.28367,34.133945
-118.295444,34.147118
-118.511108,34.055268
-118.454638,34.075021
-118.514311,34.311151
-118.229788,34.06995
-118.489517,34.066456
-118.52887,34.051997
-118.298297,34.157303
-118.296989,34.157295
-118.299511,34.157682
-118.628433,34.240992
-118.612456,34.263802
-118.296907,34.149192
-118.429387,34.072984
-118.502337,34.076936
-118.30121,34.158022
-118.306917,34.115737
-118.302917,34.119595
-118.501647,34.075795
-118.502678,34.146797
-118.563434,34.284996
-118.24018,34.087505
-118.22657,34.074561
-118.286055,34.119286
-118.563103,34.281658
-118.302918,34.158501
-118.285458,34.13499
-118.587565,34.089759
-118.513238,34.054159
-118.302885,34.153404
-118.300231,34.117089
-118.288583,34.134173
-118.282025,34.125425
-118.584907,34.092529
-118.29444,34.145759
-118.24748,34.081977
-118.260672,34.074995
-118.292691,34.121709
-118.241487,34.088914
-118.189163,34.10402
-118.295904,34.157391
-118.585788,34.156016
-118.295376,34.117733
-118.280706,34.15458
-118.299789,34.118033
-118.294712,34.119121
-118.292888,34.15664
-118.513322,34.310438
-118.565519,34.045003
-118.408333,34.124153
-118.446398,34.11238
-118.290963,34.133791
-118.516415,34.032626
-118.513858,34.038904
-118.29641,33.784169
-118.243653,34.087406
-118.58645,34.092
-118.514134,34.309209
-118.293922,34.118439
-118.285315,34.120489
-118.2967,34.121297
-118.307051,34.113847
-118.529133,34.050911
-118.504236,34.069234
-118.50474,34.070589
-118.410074,34.125923
-118.50566,34.071317
-118.436498,34.108398
-118.426672,34.119326
-118.428846,34.116525
-118.584603,34.090845
-118.296525,34.14695
-118.301678,34.147136
-118.31239,34.125809
-118.309464,34.129235
-118.293239,34.142847
-118.311756,34.126562
-118.285172,34.135883
-118.372422,34.120389
-118.444786,34.105165
-118.565128,34.133252
-118.410439,34.120643
-118.303304,34.123858
-118.305437,34.116356
-118.495541,34.296352
-118.528601,34.05
-118.295431,34.14502
-118.277345,34.121178
-118.393745,34.130853
-118.512733,34.055039
-118.509703,34.155058
-118.514933,34.156976
-118.351634,34.266214
-118.307969,34.152585
-118.299767,34.120328
-118.186395,34.105747
-118.229988,34.086033
-118.168753,34.120573
-118.286963,34.152172
-118.481278,34.08216
-118.385284,34.122017
-118.641114,34.218251
-118.307679,34.116657
-118.297203,34.122391
-118.2896,34.133776
-118.285883,34.155444
-118.235431,34.079382
-118.60441,34.150636
-118.169908,34.11877
-118.433595,34.10911
-118.292153,34.147683
-118.295023,34.158014
-118.279877,34.13044
-118.281616,34.133068
-118.589702,34.150244
