lon,lat
-118.299448,34.156868
-118.186253,34.105656
-118.526055,34.040047
-118.349792,34.086331
-118.368072,34.066464
-118.525863,34.242725
-118.261558,34.097625
-118.288121,34.021722
-118.382547,34.162198
-118.441628,34.0659
-118.285767,34.019456
-118.292797,34.156469
-118.404572,34.140903
-118.6122,34.264253
-118.266374,34.092492
-118.293228,34.244902
-118.300024,34.245498
-118.446663,34.000915
-118.283362,34.13169
-118.198137,34.044547
-118.589128,34.164908
-118.383203,34.271928
-118.309623,34.152747
-118.472029,34.177744
-118.421406,34.136726
-118.360294,34.270624
-118.345462,34.266403
-118.475872,34.174215
-118.566213,34.154126
-118.531967,34.041293
-118.488388,34.175676
-118.493117,34.179471
-118.496971,34.179263
-118.566089,34.152775
-118.34383,34.26465
-118.533259,34.038287
-118.471902,34.179045
-118.358841,34.269835
-118.474928,34.173261
-118.586743,34.093183
-118.474827,34.178812
-118.300087,34.157801
-118.491681,34.176888
-118.486578,34.173477
-118.531007,34.237306
-118.301195,34.158045
-118.428362,34.049233
-118.320878,34.149925
-118.481285,34.171197
-118.45247,34.067603
-118.512955,34.054356
-118.249328,34.078892
-118.498763,34.160625
-118.284278,34.147475
-118.21132,34.128692
-118.289477,34.13442
-118.449325,34.06905
-118.499472,34.159892
-118.453907,34.189767
-118.28564,34.135471
-118.283662,34.019845
-118.211388,34.124522
-118.472984,34.180825
-118.470796,34.179215
-118.439256,34.075321
-118.514046,34.310576
-118.284083,34.145608
-118.478247,34.26817
-118.45071,34.071161
-118.358362,34.084389
-118.442174,34.072199
-118.284576,34.021602
-118.288495,34.13678
-118.286796,34.1348
-118.439788,34.072808
-118.248003,34.081628
-118.27938,34.13282
-118.541773,34.288437
-118.511433,34.054564
-118.449972,34.006194
-118.362667,34.006636
-118.450795,34.075495
-118.454837,34.073387
-118.424628,34.162149
-118.364214,34.018118
-118.2818,34.084342
-118.289657,34.140291
-118.286603,33.782602
-118.302002,34.147934
-118.502835,34.161163
-118.448608,34.070739
-118.293471,33.789146
-118.300137,34.14158
-118.440378,34.161132
-118.521683,34.045383
-118.302206,34.143984
-118.294249,33.788276
-118.30271,34.142484
-118.475889,34.18009
-118.490165,34.176476
-118.30188,34.146447
-118.23687,34.080789
-118.529883,34.235863
-118.309981,33.732395
-118.282726,34.021347
-118.325942,34.011742
-118.286338,34.016975
-118.430892,34.015519
-118.181945,34.098503
-118.33187,34.050707
-118.448387,34.039761
-118.51297,34.308613
-118.448203,34.065986
-118.440974,34.075506
-118.385273,34.044726
-118.44815,34.067508
-118.424989,33.966085
-118.451492,34.068072
-118.211617,34.12675
-118.508233,34.308842
-118.475479,34.177012
-118.292999,34.14485
-118.164947,34.070883
-118.288428,34.026823
-118.430542,34.073314
-118.443078,34.063264
-118.476941,34.171467
-118.578977,34.185776
-118.475811,34.177905
-118.269237,34.123538
-118.440322,34.065931
-118.395524,34.151042
-118.428987,34.060817
-118.376126,34.148626
-118.53138,34.043322
-118.471305,34.041595
-118.427061,34.017723
-118.585398,34.156837
-118.29527,34.146547
-118.44487,34.070831
-118.512903,34.310763
-118.452522,34.069442
-118.296694,34.158272
-118.208145,34.132423
-118.549347,34.250837
-118.389405,34.166983
-118.456122,34.006889
-118.295902,33.782204
-118.473925,34.179655
-118.338067,34.007931
-118.474471,34.17772
-118.368242,33.982188
-118.531517,34.235803
-118.44519,34.064514
-118.476987,34.178744
-118.207261,34.128792
-118.587017,34.156283
-118.645166,34.166847
-118.238495,34.084337
-118.266331,34.099035
-118.511384,34.188693
-118.300504,34.142644
-118.29939,34.142703
-118.438219,34.029344
-118.430061,33.977032
-118.295672,33.786601
-118.280567,34.030658
-118.303417,34.145639
-118.476622,34.182422
-118.294838,33.783574
-118.29575,33.785172
-118.292296,33.791528
-118.476909,34.181219
-118.288316,34.13383
-118.331337,34.059792
-118.473743,34.175375
-118.42038,34.154625
-118.281013,34.027411
-118.289779,34.016932
-118.239067,34.083317
-118.513972,34.30947
-118.442361,34.070747
-118.444497,34.072992
-118.444743,34.071986
-118.187713,34.10595
-118.297042,33.782997
-118.443653,34.074238
-118.627633,34.167653
-118.294521,34.11814
-118.262967,34.101719
-118.29449,34.119226
-118.479839,34.179627
-118.471851,34.180082
-118.639345,34.218762
-118.473626,34.17877
-118.245622,34.087502
-118.532197,34.187059
-118.379188,33.969288
-118.424072,34.051231
-118.451302,34.073097
-118.29683,33.786044
-118.29427,34.157665
-118.493988,34.177637
-118.45658,34.059517
-118.498612,34.179528
-118.462647,34.067689
-118.2969,33.784402
-118.440492,34.07145
-118.297698,34.157804
-118.261413,34.098553
-118.295944,33.783926
-118.447797,34.072193
-118.315886,34.271033
-118.288764,34.106269
-118.493583,34.167647
-118.441772,34.016298
-118.188933,34.142217
-118.44773,34.053692
-118.459795,34.064217
-118.529439,34.040432
-118.514717,34.038547
-118.466195,34.06892
-118.318458,34.06722
-118.421363,34.15567
-118.535229,34.263244
-118.320922,34.25837
-118.510087,34.307808
-118.458892,34.059983
-118.460045,34.059733
-118.512397,34.056453
-118.528971,34.050571
-118.232345,34.116036
-118.565251,34.13575
-118.285738,34.013633
-118.244728,34.086583
-118.544175,34.280287
-118.285662,34.01455
-118.613138,34.257162
-118.511745,34.307417
-118.48682,34.126784
-118.244888,34.075622
-118.443309,34.071616
-118.458687,34.063061
-118.433434,34.013878
-118.615442,34.256808
-118.303045,34.158098
-118.533949,34.188086
-118.492929,34.181426
-118.495812,34.2538
-118.593937,34.143915
-118.457817,34.059117
-118.646626,34.19533
-118.306267,33.803464
-118.395967,34.270655
-118.397025,34.268445
-118.524558,34.244388
-118.408042,34.045519
-118.453043,34.042897
-118.42855,34.017636
-118.426138,34.018292
-118.381532,34.166589
-118.424916,33.990305
-118.440022,34.054113
-118.284137,34.132382
-118.360417,34.020084
-118.291803,33.789877
-118.406446,33.963105
-118.169684,34.119634
-118.410753,34.046581
-118.23607,34.079805
-118.235046,34.080492
-118.294088,34.156767
-118.296621,34.157265
-118.284416,34.130981
-118.483169,34.175273
-118.425522,34.049308
-118.440208,34.074811
-118.314487,34.033012
-118.362388,34.008236
-118.495338,34.165996
